student,sex,glasses,english,statsofar,ageguess,smoke,h.left,h.right,handedness,statfuture,haircut,lecture,alone,height.in,hand.span,favcolor,lastsleep,pulse,year,lovetrueage
201428,m,NA,y,7,50,1,2,18,0.8,7,25,3,2,70,23.5,blue,6,66,2014,47.5
201429,f,NA,y,1,56,1,6,14,0.4,6,30,2,3,64,18.5,blue,7.5,68,2014,47.5
201430,m,NA,y,4,55,1,1,19,0.9,6,20,3,3,NA,22,blue,8.5,74,2014,47.5
201431,m,NA,y,6,50,1,2,18,0.8,6,0,3,2,68.5,20.5,green,8,66,2014,47.5
201432,m,NA,y,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,47.5
201433,m,NA,y,2,47,1,4,16,0.6,5,14,3,1,72,21,aquamarine,7,80,2014,47.5
201434,m,NA,y,7,45,1,0,10,1,7,7,4,2,73,24,blue,7,70,2014,47.5
201435,m,NA,y,2,45,1,3,17,0.7,4,14,2,1,71,22,green,8.5,70,2014,47.5
201436,m,NA,y,6,47,1,0,14,1,6,15,3,3,70,25,blue,8,70,2014,47.5
201437,m,NA,y,4,42,1,8,12,0.2,7,20,3,3,73,20,blue,6,58,2014,47.5
201438,m,NA,y,7,53,1,6,14,0.4,6,25,1,1,71,24,blue,8,59,2014,47.5
201439,m,NA,n,7,50,1,0,20,1,7,12,5,3,67,21,white,6,80,2014,47.5
201440,m,NA,y,5,47,1,3,9,0.5,5,18,2,2,67,21,white,9,70,2014,47.5
201441,m,NA,n,5,52,1,5,12,0.41,6,15,2,2,68,23,pink,8,72,2014,47.5
201442,f,NA,y,5,42,1,0,20,1,6,25,5,1,64,17,green,4,77,2014,47.5
