iso3_code,nation,pct_low_birthweight,unicef_subregion,least_developed,pct_no_birthweight
MLI,Mali,NA,West and Central Africa,1,63.3
MLT,Malta,6.32,Western Europe,0,0
MHL,Marshall Islands,NA,East Asia and Pacific,0,NA
MRT,Mauritania,NA,West and Central Africa,1,77.89
MUS,Mauritius,17.06,Eastern and Southern Africa,0,4.91
MEX,Mexico,7.87,Latin America and Caribbean,0,2.1
FSM,Micronesia (Federated States of),NA,East Asia and Pacific,0,NA
MCO,Monaco,5.44,Western Europe,0,0
MNG,Mongolia,5.37,East Asia and Pacific,0,0.85
MNE,Montenegro,5.45,Eastern Europe and Central Asia,0,1.41
MSR,Montserrat,NA,Latin America and Caribbean,0,NA
MAR,Morocco,17.28,Middle East and North Africa,0,25.75
MOZ,Mozambique,13.82,Eastern and Southern Africa,1,48.75
MMR,Myanmar,12.3,East Asia and Pacific,1,54.59
NAM,Namibia,15.53,Eastern and Southern Africa,0,13.97
NRU,Nauru,NA,East Asia and Pacific,0,NA
NPL,Nepal,21.81,South Asia,1,38.71
NLD,Netherlands,6.15,Western Europe,0,6.28
NZL,New Zealand,5.69,East Asia and Pacific,0,3.81
NIC,Nicaragua,10.67,Latin America and Caribbean,0,NA
NER,Niger,NA,West and Central Africa,1,76.84
NGA,Nigeria,NA,West and Central Africa,0,83.6
NIU,Niue,NA,East Asia and Pacific,0,NA
MKD,North Macedonia,9.05,Eastern Europe and Central Asia,0,3.65
NOR,Norway,4.49,Western Europe,0,4.4
OMN,Oman,10.54,Middle East and North Africa,0,0
PAK,Pakistan,NA,South Asia,0,87.82
PLW,Palau,NA,East Asia and Pacific,0,NA
PAN,Panama,10.09,Latin America and Caribbean,0,8.82
PNG,Papua New Guinea,NA,East Asia and Pacific,0,NA
PRY,Paraguay,8.09,Latin America and Caribbean,0,2.34
PER,Peru,9.4,Latin America and Caribbean,0,6.91
PHL,Philippines,20.15,East Asia and Pacific,0,19.29
POL,Poland,5.94,Western Europe,0,0
PRT,Portugal,8.9,Western Europe,0,0
QAT,Qatar,7.32,Middle East and North Africa,0,19.72
KOR,Republic of Korea,5.77,East Asia and Pacific,0,2.7
MDA,Republic of Moldova,5,Eastern Europe and Central Asia,0,0.81
ROU,Romania,8.18,Eastern Europe and Central Asia,0,0
RUS,Russian Federation,5.81,Eastern Europe and Central Asia,0,0
RWA,Rwanda,7.87,Eastern and Southern Africa,1,7.63
KNA,Saint Kitts and Nevis,NA,Latin America and Caribbean,0,NA
LCA,Saint Lucia,NA,Latin America and Caribbean,0,0
VCT,Saint Vincent and the Grenadines,NA,Latin America and Caribbean,0,NA
WSM,Samoa,NA,East Asia and Pacific,0,NA
SMR,San Marino,3.26,Western Europe,0,0
STP,Sao Tome and Principe,6.6,West and Central Africa,1,6.91
SAU,Saudi Arabia,NA,Middle East and North Africa,0,NA
SEN,Senegal,18.46,West and Central Africa,1,46.75
SRB,Serbia,4.53,Eastern Europe and Central Asia,0,1.62
SYC,Seychelles,11.67,Eastern and Southern Africa,0,0
SLE,Sierra Leone,14.42,West and Central Africa,1,52.36
SGP,Singapore,9.64,East Asia and Pacific,0,25.81
SVK,Slovakia,7.6,Western Europe,0,2.07
SVN,Slovenia,6.15,Western Europe,0,0.36
SLB,Solomon Islands,NA,East Asia and Pacific,1,NA
SOM,Somalia,NA,Eastern and Southern Africa,1,NA
ZAF,South Africa,14.21,Eastern and Southern Africa,0,18.34
SSD,South Sudan,NA,Eastern and Southern Africa,1,NA
ESP,Spain,8.27,Western Europe,0,1.95
LKA,Sri Lanka,15.89,South Asia,0,0
PSE,State of Palestine,8.39,Middle East and North Africa,0,0.33
SDN,Sudan,NA,Eastern and Southern Africa,1,89.27
SUR,Suriname,14.66,Latin America and Caribbean,0,19.47
SWE,Sweden,2.41,Western Europe,0,6.82
CHE,Switzerland,6.47,Western Europe,0,1.14
SYR,Syrian Arab Republic,NA,Middle East and North Africa,0,NA
TJK,Tajikistan,5.63,Eastern Europe and Central Asia,0,15.91
THA,Thailand,10.52,East Asia and Pacific,0,0.99
TLS,Timor-Leste,NA,East Asia and Pacific,1,73.69
TGO,Togo,16.09,West and Central Africa,1,39.93
TKL,Tokelau,NA,East Asia and Pacific,0,NA
TON,Tonga,NA,East Asia and Pacific,0,NA
TTO,Trinidad and Tobago,12.39,Latin America and Caribbean,0,14.09
TUN,Tunisia,7.47,Middle East and North Africa,0,2.56
TUR,Turkey,11.4,Eastern Europe and Central Asia,0,0.97
TKM,Turkmenistan,4.93,Eastern Europe and Central Asia,0,0.71
TCA,Turks and Caicos Islands,NA,Latin America and Caribbean,0,NA
TUV,Tuvalu,NA,East Asia and Pacific,1,NA
UGA,Uganda,NA,Eastern and Southern Africa,1,49.5
UKR,Ukraine,5.63,Eastern Europe and Central Asia,0,2.76
ARE,United Arab Emirates,12.68,Middle East and North Africa,0,2.7
GBR,United Kingdom,6.95,Western Europe,0,3.9
TZA,United Republic of Tanzania,10.5,Eastern and Southern Africa,1,36.41
USA,United States,8.02,North America,0,1.6
URY,Uruguay,7.62,Latin America and Caribbean,0,5.56
UZB,Uzbekistan,5.26,Eastern Europe and Central Asia,0,NA
VUT,Vanuatu,10.91,East Asia and Pacific,1,NA
VEN,Venezuela (Bolivarian Republic of),9.1,Latin America and Caribbean,0,NA
VNM,Viet Nam,8.21,East Asia and Pacific,0,5.74
YEM,Yemen,NA,Middle East and North Africa,1,91.77
ZMB,Zambia,11.6,Eastern and Southern Africa,1,33.6
ZWE,Zimbabwe,12.63,Eastern and Southern Africa,0,17.86
